kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs.1.sm_30.ptx 147 : 65535 290222 0 0 0 8357 8357 0 0 
bfs.1.sm_30.ptx 146 : 65535 410614 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 145 : 65535 291550 0 0 0 8357 8357 0 0 
bfs.1.sm_30.ptx 144 : 65535 474006 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 143 : 65535 294768 0 0 0 8357 8357 0 0 
bfs.1.sm_30.ptx 142 : 65535 680371 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 141 : 65535 289645 0 0 0 8357 8357 0 0 
bfs.1.sm_30.ptx 140 : 65535 464887 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 150 : 655360 4143424 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 139 : 65535 699412 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 138 : 65535 491255 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 137 : 65535 504099 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 135 : 655360 3840270 0 0 0 0 0 0 8357 
bfs.1.sm_30.ptx 134 : 655360 4808640 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 133 : 655360 137856352 0 0 0 20480 20480 0 0 
bfs.1.sm_30.ptx 132 : 655360 6901984 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 131 : 655360 4781248 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 130 : 655360 4875136 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 128 : 655360 0 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 127 : 655360 4899680 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 126 : 655360 6881216 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 125 : 655360 4370688 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 124 : 655360 4956128 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 123 : 655360 4141728 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 122 : 655360 2057248 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 121 : 655360 2078080 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 120 : 655360 2052928 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 119 : 655360 2084864 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 118 : 655360 2063264 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 97 : 393216 1972010 0 0 0 0 0 0 29042 
bfs.1.sm_30.ptx 59 : 65536 466548 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 58 : 65536 36749300 0 0 0 14540 8358 0 0 
bfs.1.sm_30.ptx 57 : 65536 664224 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 56 : 65536 678962 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 55 : 65536 670449 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 54 : 65536 879450 0 0 0 8358 8358 0 0 
bfs.1.sm_30.ptx 53 : 65536 442000 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 52 : 65536 492039 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 50 : 655360 3715280 0 0 0 0 0 0 8358 
bfs.1.sm_30.ptx 49 : 655360 4682496 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 48 : 655360 175651936 0 0 0 20480 20480 0 0 
bfs.1.sm_30.ptx 47 : 655360 6717888 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 46 : 655360 4720896 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 45 : 655360 4678656 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 60 : 65536 0 0 0 0 0 0 0 0 
