kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs.1.sm_30.ptx 147 : 65535 283296 0 0 0 8357 8357 0 0 
bfs.1.sm_30.ptx 146 : 65535 412406 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 145 : 65535 287091 0 0 0 8357 8357 0 0 
bfs.1.sm_30.ptx 144 : 65535 473474 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 143 : 65535 290450 0 0 0 8357 8357 0 0 
bfs.1.sm_30.ptx 142 : 65535 680081 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 141 : 65535 285562 0 0 0 8357 8357 0 0 
bfs.1.sm_30.ptx 140 : 65535 459876 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 150 : 655360 4143680 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 139 : 65535 693151 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 138 : 65535 490701 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 137 : 65535 502422 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 135 : 655360 3825831 0 0 0 0 0 0 8357 
bfs.1.sm_30.ptx 134 : 655360 4803936 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 133 : 655360 136890240 0 0 0 20480 20480 0 0 
bfs.1.sm_30.ptx 132 : 655360 6893024 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 131 : 655360 4777952 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 130 : 655360 4868448 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 128 : 655360 0 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 127 : 655360 4883456 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 126 : 655360 6870560 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 125 : 655360 4360320 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 124 : 655360 4942720 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 123 : 655360 4143648 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 122 : 655360 2055616 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 121 : 655360 2075680 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 120 : 655360 2050112 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 119 : 655360 2082368 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 118 : 655360 2060480 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 97 : 393216 1971858 0 0 0 0 0 0 29042 
bfs.1.sm_30.ptx 59 : 65536 466612 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 58 : 65536 36668518 0 0 0 14540 8358 0 0 
bfs.1.sm_30.ptx 57 : 65536 666289 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 56 : 65536 680840 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 55 : 65536 671636 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 54 : 65536 811846 0 0 0 8358 8358 0 0 
bfs.1.sm_30.ptx 53 : 65536 441961 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 52 : 65536 491592 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 50 : 655360 3715991 0 0 0 0 0 0 8358 
bfs.1.sm_30.ptx 49 : 655360 4691488 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 48 : 655360 173245920 0 0 0 20480 20480 0 0 
bfs.1.sm_30.ptx 47 : 655360 6722112 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 46 : 655360 4716640 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 45 : 655360 4683808 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 60 : 65536 0 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 31 : 655360 4348384 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 90 : 126844 64140960 0 0 0 71028 48745 0 0 
bfs.1.sm_30.ptx 32 : 655360 4291488 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 33 : 655360 2441664 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 34 : 655360 2329248 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 93 : 393216 3942251 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 35 : 655360 2292384 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 94 : 393216 3947853 0 0 0 0 0 0 0 
