kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
gemm.1.sm_30.ptx 190 : 262144 2247936 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 189 : 262144 9457280 0 0 0 32768 8192 0 0 
gemm.1.sm_30.ptx 188 : 262144 3024352 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 187 : 262144 3128224 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 186 : 262144 2293056 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 185 : 262144 3075424 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 182 : 4194304 31841536 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 181 : 4194304 38672064 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 180 : 4194304 50645312 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 179 : 4194304 22529696 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 178 : 4194304 27495872 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 177 : 4194304 128503392 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 176 : 4194304 125639680 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 175 : 4194304 40378336 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 174 : 4194304 127951328 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 173 : 4194304 125894720 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 172 : 4194304 42154688 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 171 : 4194304 127899104 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 170 : 4194304 125911968 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 169 : 4194304 42356992 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 168 : 4194304 128504224 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 167 : 4194304 126322208 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 166 : 4194304 42356992 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 165 : 4194304 128598112 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 164 : 4194304 126727136 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 163 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 91 : 4194304 43168672 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 90 : 4194304 141448192 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 89 : 4194304 138034976 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 88 : 4194304 45468448 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 87 : 4194304 147074624 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 86 : 4194304 142264224 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 85 : 4194304 67474528 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 84 : 4194304 149119488 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 83 : 4194304 145691904 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 82 : 4194304 20971552 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 81 : 4194304 13331072 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 80 : 4194304 938452416 0 0 0 524288 131072 0 0 
gemm.1.sm_30.ptx 79 : 4194304 37755296 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 78 : 4194304 37755968 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 77 : 4194304 41953344 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 76 : 4194304 37756064 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 75 : 4194304 31873088 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 74 : 4194304 1103256032 0 0 0 524288 131072 0 0 
gemm.1.sm_30.ptx 73 : 4194304 56861280 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 72 : 4194304 53249568 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 71 : 4194304 52615392 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 70 : 4194304 35649120 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 67 : 262144 2120672 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 66 : 262144 2112960 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 65 : 262144 2116032 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 64 : 262144 2122400 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 63 : 262144 2190432 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 45 : 262144 3202816 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 44 : 262144 3700000 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 43 : 262144 2255552 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 42 : 262144 2318944 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 41 : 262144 2309216 0 0 0 0 0 0 0 
